key;id_now;ff_x;ff_y;fw_x;fw_y;fa_x;fa_y;t_x;t_y
177;73;-0.0;1.0;-0.0;-0.0;1.130782612116566e-16;-9.211160738403862e-15;0;2
4;74;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
172;74;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;2
173;74;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
174;74;-0.0;1.0;-0.0;-0.0;-1.0152063958772378e-15;-1.7686196081437472e-15;0;1
175;74;-0.0;1.0;-0.0;-0.0;-1.1064109315787562e-15;1.0869541912400703e-15;0;1
176;74;-0.0;1.0;-0.0;-0.0;-1.3674401325394229e-15;3.157967714489334e-15;0;2
177;74;-0.0;1.0;-0.0;-0.0;-2.7821470482135395e-15;3.002313791779846e-15;0;1
4;75;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
172;75;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;75;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;75;-0.0;1.0;-0.0;-0.0;1.0537189641036087;1.053718964103605;1;2
175;75;-0.0;1.0;-0.0;-0.0;8.004605083018275e-16;2.2851645346725097e-15;0;2
176;75;-0.0;1.0;-0.0;-0.0;-3.157967714489334e-15;-0.0;0;1
177;75;-0.0;1.0;-0.0;-0.0;1.1086296246994869e-15;1.8464173839456667e-15;0;1
4;76;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
172;76;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;76;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
174;76;-0.0;1.0;-0.0;-0.0;-9.95142983302641e-17;-3.2513195080191808e-15;0;1
175;76;-0.0;1.0;-0.0;-0.0;-1.751740968970239e-16;-5.43890645468081e-16;0;1
176;76;-0.0;1.0;-0.0;-0.0;-3.157967714489334e-15;-0.0;-1;1
177;76;-0.0;1.0;-0.0;-0.0;1.130782612116566e-16;-9.211160738403862e-15;0;2
4;77;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
172;77;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;77;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;77;-0.0;1.0;-0.0;-0.0;-1.2765735576735002e-16;-2.9461331131333995e-15;0;1
175;77;-0.0;1.0;-0.0;-0.0;4.0023025415091405e-16;5.138012406660975e-15;0;1
176;77;-0.0;1.0;-0.0;-0.0;3.1611568923108293;-0.0;0;1
177;77;-0.0;1.0;-0.0;-0.0;-1.6262506403793591e-15;-2.0443592889673587e-15;0;1
4;78;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
172;78;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;78;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;78;-0.0;1.0;-0.0;-0.0;-1.2765735576735002e-16;-2.9461331131333995e-15;1;2
175;78;-0.0;1.0;-0.0;-0.0;4.0023025415091405e-16;5.138012406660975e-15;-1;2
176;78;-0.0;1.0;-0.0;-0.0;3.1611568923108293;-0.0;0;1
177;78;-0.0;1.0;-0.0;-0.0;-1.6262506403793591e-15;-2.0443592889673587e-15;0;2
4;79;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
21;79;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
172;79;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
173;79;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
174;79;-0.0;1.0;-0.0;-0.0;3.214933354756928e-16;-7.002575403377093e-15;0;1
175;79;-0.0;1.0;-0.0;-0.0;1.2876328967989514e-15;2.4271075654437835e-16;0;1
176;79;-0.0;1.0;-0.0;-0.0;3.1611568923108293;-0.0;0;2
177;79;-0.0;1.0;-0.0;-0.0;-3.16115689231083;-3.6076834448956704e-15;-1;1
4;80;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
21;80;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
172;80;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;80;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
174;80;-0.0;1.0;-0.0;-0.0;-5.083543147406623e-16;-1.8513908517251384e-15;0;1
175;80;-0.0;1.0;-0.0;-0.0;1.2876328967989514e-15;2.4271075654437835e-16;0;2
176;80;-0.0;1.0;-0.0;-0.0;3.1611568923108293;-0.0;-1;1
177;80;-0.0;1.0;-0.0;-0.0;-2.7821470482135395e-15;3.002313791779846e-15;0;2
4;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
21;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
172;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;81;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
