key,id_now,ff_x,ff_y,fw_x,fw_y,fa_x,fa_y,t_x,t_y,t_xn,t_yn,t_dir,ff_dir
129,763,0,1,0,0,5.26859482051804,-8.42975171282887,1,0,1,0,1,3
130,763,0,1,0,0,-4.25433010228918e-16,-5.65467597386709e-15,0,0,0,0,0,3
131,763,0,1,0,0,-2.11543724705244e-16,1.25119733284541e-16,-1,0,-1,0,5,3
132,763,0,1,0,0,-7.84007638782586e-16,-3.16115689231083,0,0,0,0,0,3
133,763,0,1,0,0,-6.92866536929918e-16,2.00207130665515e-15,0,0,0,0,0,3
134,763,0,1,0,0,1.05371896410361,-7.37603274872526,0,1,0,1,3,3
85,764,0,1,-11.5,0,0,0,0,1,0,1,3,3
87,764,0,1,0,0,0,0,1,1,0.707106781186547,0.707106781186547,2,3
89,764,0,1,11.5,0,0,0,0,1,0,1,3,3
91,764,0,1,0,0,0,0,0,1,0,1,3,3
92,764,0,1,-23.5,0,1.25557432658923e-15,2.88403799600363e-15,-1,1,-0.707106781186547,0.707106781186547,4,3
93,764,0,1,23,0,0,0,0,1,0,1,3,3
94,764,0,1,0,0,0,0,0,1,0,1,3,3
95,764,0,1,11.5,0,-2.10743792820722,-5.26859482051805,0,1,0,1,3,3
96,764,0,1,0,0,-3.66765346886047e-16,1.42585171910494e-15,0,0,0,0,0,3
97,764,0,1,0,0,-7.71728712517477e-16,-3.3254607037529e-15,0,1,0,1,3,3
98,764,0,1,0,0,-1.21271036385214e-15,1.05371896410361,0,1,0,1,3,3
99,764,0,1,0,0,-6.92866536929918e-16,4.0221478754451e-15,0,1,0,1,3,3
100,764,0,1,0,0,-5.60457467275781e-17,4.69872492723135e-17,0,1,0,1,3,3
101,764,0,1,0,0,-1.05371896410361,-1.05371896410361,0,1,0,1,3,3
102,764,0,1,0,0,1.40269143239634e-15,0,0,0,0,0,0,3
103,764,0,1,0,0,5.26859482051805,8.42975171282887,0,0,0,0,0,3
104,764,0,1,0,0,0,0,0,0,0,0,0,3
105,764,0,1,0,0,7.68658467664115e-16,2.18095015524961e-15,0,0,0,0,0,3
106,764,0,1,0,0,5.89284797956818e-15,0,0,0,0,0,0,3
107,764,0,1,0,0,-10.5371896410361,-1.05371896410361,0,1,0,1,3,3
108,764,0,1,0,0,2.08452471749999e-16,-6.29109177298558e-17,0,0,0,0,0,3
